#:t M1mx M1my M1mz
11.7 0.116302 0.387482 0.914512
11.75 0.116794 0.382882 0.916385
11.8 0.117285 0.378273 0.918234
11.85 0.117777 0.373655 0.92006
11.9 0.118268 0.369028 0.921863
11.95 0.11876 0.364393 0.923642
12.0 0.119251 0.359748 0.925397
12.05 0.119743 0.355095 0.927129
12.1 0.120234 0.350434 0.928838
12.15 0.120725 0.345765 0.930523
12.2 0.121217 0.341087 0.932184
12.25 0.121708 0.336401 0.933821
12.3 0.122199 0.331707 0.935434
12.35 0.12269 0.327006 0.937024
12.4 0.123181 0.322297 0.93859
12.45 0.123672 0.31758 0.940132
12.5 0.124163 0.312856 0.94165
12.55 0.124653 0.308124 0.943144
12.6 0.125144 0.303385 0.944614
12.65 0.125635 0.29864 0.94606
12.7 0.126125 0.293887 0.947482
12.75 0.126616 0.289127 0.94888
12.8 0.127106 0.284361 0.950254
12.85 0.127596 0.279588 0.951604
12.9 0.128087 0.274809 0.952929
12.95 0.128577 0.270024 0.95423
13.0 0.129067 0.265232 0.955507
13.05 0.129557 0.260434 0.95676
13.1 0.130047 0.25563 0.957988
13.15 0.130537 0.25082 0.959192
13.2 0.131027 0.246005 0.960372
13.25 0.131517 0.241184 0.961527
13.3 0.132006 0.236358 0.962657
13.35 0.132496 0.231526 0.963764
13.4 0.132985 0.226689 0.964846
13.45 0.133475 0.221847 0.965903
13.5 0.133964 0.217 0.966936
13.55 0.134454 0.212148 0.967944
13.6 0.134943 0.207291 0.968928
13.65 0.135432 0.20243 0.969887
13.7 0.135921 0.197565 0.970821
13.75 0.13641 0.192695 0.971731
13.8 0.136899 0.187821 0.972616
13.85 0.137388 0.182942 0.973477
13.9 0.137877 0.17806 0.974312
13.95 0.138366 0.173174 0.975123
14.0 0.138855 0.168285 0.97591
14.05 0.139343 0.163391 0.976671
14.1 0.139832 0.158495 0.977408
14.15 0.14032 0.153595 0.97812
14.2 0.140809 0.148691 0.978807
14.25 0.141297 0.143785 0.97947
14.3 0.141785 0.138876 0.980107
14.35 0.142274 0.133964 0.98072
14.4 0.142762 0.129049 0.981308
14.45 0.14325 0.124132 0.981871
14.5 0.143738 0.119212 0.982409
14.55 0.144226 0.11429 0.982923
14.6 0.144713 0.109366 0.983411
14.65 0.145201 0.10444 0.983874
14.7 0.145689 0.0995114 0.984313
14.75 0.146176 0.0945814 0.984727
14.8 0.146664 0.0896498 0.985116
14.85 0.147151 0.0847166 0.985479
14.9 0.147639 0.079782 0.985818
14.95 0.148126 0.0748461 0.986132
15.0 0.148613 0.069909 0.986421
15.05 0.1491 0.0649709 0.986685
15.1 0.149587 0.0600319 0.986924
15.15 0.150074 0.0550921 0.987139
15.2 0.150561 0.0501516 0.987328
15.25 0.151048 0.0452107 0.987492
15.3 0.151535 0.0402693 0.987631
15.35 0.152021 0.0353277 0.987746
15.4 0.152508 0.0303859 0.987835
15.45 0.152994 0.0254441 0.987899
15.5 0.153481 0.0205024 0.987939
15.55 0.153967 0.0155609 0.987953
15.6 0.154453 0.0106198 0.987943
15.65 0.15494 0.0056792 0.987908
15.7 0.155426 0.000739217 0.987847
15.75 0.155912 -0.00420003 0.987762
15.8 0.156398 -0.0091384 0.987652
15.85 0.156883 -0.0140758 0.987517
15.9 0.157369 -0.019012 0.987357
15.95 0.157855 -0.023947 0.987172
16.0 0.15834 -0.0288806 0.986962
16.05 0.158826 -0.0338127 0.986727
16.1 0.159311 -0.0387432 0.986468
16.15 0.159797 -0.0436719 0.986183
16.2 0.160282 -0.0485988 0.985874
16.25 0.160767 -0.0535236 0.98554
16.3 0.161252 -0.0584462 0.985181
16.35 0.161737 -0.0633667 0.984797
16.4 0.162222 -0.0682847 0.984389
16.45 0.162707 -0.0732002 0.983955
16.5 0.163192 -0.0781131 0.983497
16.55 0.163676 -0.0830231 0.983014
16.6 0.164161 -0.0879303 0.982507
16.65 0.164645 -0.0928345 0.981974
16.7 0.16513 -0.0977355 0.981417
16.75 0.165614 -0.102633 0.980836
16.8 0.166098 -0.107528 0.980229
16.85 0.166583 -0.112418 0.979598
16.9 0.167067 -0.117306 0.978942
16.95 0.167551 -0.122189 0.978262
17.0 0.168035 -0.127069 0.977557
17.05 0.168518 -0.131944 0.976828
17.1 0.169002 -0.136815 0.976074
17.15 0.169486 -0.141683 0.975295
17.2 0.169969 -0.146545 0.974492
17.25 0.170453 -0.151403 0.973665
17.3 0.170936 -0.156257 0.972813
17.35 0.171419 -0.161106 0.971936
17.4 0.171903 -0.165949 0.971036
17.45 0.172386 -0.170788 0.970111
17.5 0.172869 -0.175622 0.969161
17.55 0.173352 -0.18045 0.968187
17.6 0.173835 -0.185273 0.967189
17.65 0.174317 -0.190091 0.966167
17.7 0.1748 -0.194903 0.965121
17.75 0.175283 -0.199709 0.96405
17.8 0.175765 -0.204509 0.962955
17.85 0.176247 -0.209303 0.961836
17.9 0.17673 -0.214091 0.960693
17.95 0.177212 -0.218873 0.959526
18.0 0.177694 -0.223649 0.958335
18.05 0.178176 -0.228418 0.95712
18.1 0.178658 -0.23318 0.955881
18.15 0.17914 -0.237936 0.954618
18.2 0.179622 -0.242685 0.953331
18.25 0.180103 -0.247427 0.95202
18.3 0.180585 -0.252161 0.950686
18.35 0.181066 -0.256889 0.949328
18.4 0.181548 -0.261609 0.947946
18.45 0.182029 -0.266322 0.94654
18.5 0.18251 -0.271027 0.945111
18.55 0.182991 -0.275724 0.943658
18.6 0.183472 -0.280414 0.942181
18.65 0.183953 -0.285096 0.940681
18.7 0.184434 -0.289769 0.939158
18.75 0.184915 -0.294435 0.937611
18.8 0.185396 -0.299092 0.936041
18.85 0.185876 -0.303741 0.934447
18.9 0.186357 -0.308381 0.93283
18.95 0.186837 -0.313013 0.93119
19.0 0.187317 -0.317636 0.929527
19.05 0.187797 -0.322249 0.92784
19.1 0.188277 -0.326854 0.926131
19.15 0.188757 -0.33145 0.924398
19.2 0.189237 -0.336037 0.922642
