#:t M1X M2X M1V M2V
165.2 -0.144271689478 1.00895865541 0.0865569791239 0.849733489588
165.25 -0.139573680884 1.00759505692 0.101363364651 0.85600099339
165.3 -0.134229513401 1.00600246648 0.112403334659 0.860298757708
165.35 -0.128311982033 1.00430330847 0.124297920075 0.864976278746
165.4 -0.12183687986 1.00255264592 0.134706166833 0.870732829329
165.45 -0.114928014175 1.00086870412 0.141648460568 0.872686903082
165.5 -0.107620746884 0.99924203422 0.150642231068 0.875564158649
165.55 -0.0998855949716 0.997722377852 0.158763845431 0.880062614597
165.6 -0.0917916255367 0.996378919107 0.164994931963 0.887969690332
165.65 -0.0833879787723 0.995185106112 0.171150938615 0.891599951409
165.7 -0.074663652593 0.99414809862 0.177822108557 0.894243577717
165.75 -0.0656741313046 0.993290226975 0.181758742981 0.8973421445
165.8 -0.0564932378449 0.992640493933 0.185476995407 0.89942412363
165.85 -0.0471775977799 0.992169822891 0.187148607191 0.8999373815
165.9 -0.0377692381387 0.992009561492 0.189185778454 0.892950178017
165.95 -0.0282666904435 0.992209593143 0.190916129356 0.886252231412
166.0 -0.0187115151525 0.992735125299 0.191290882285 0.877657300386
166.05 -0.00916090928361 0.99351916494 0.190733352469 0.872931213148
166.1 0.00033777893855 0.994426384222 0.189214176417 0.868854472685
166.15 0.00974955393437 0.995351157164 0.187256823416 0.867649828137
166.2 0.0189892159776 0.996214081864 0.182329658313 0.865021560813
166.25 0.0280782914053 0.996879776038 0.181233358796 0.861065145309
166.3 0.0370848913576 0.997309570905 0.179030639296 0.859064128047
166.35 0.045959602725 0.99758916347 0.175957815399 0.858509641406
166.4 0.0546379862027 0.997672475086 0.17117752371 0.863797173815
166.45 0.0630586028634 0.997571399878 0.165647142719 0.866006548592
166.5 0.0712111337507 0.997318713009 0.160454092774 0.867194729451
166.55 0.0790687293397 0.99701012035 0.153849730786 0.868816975953
166.6 0.0865889694637 0.9966960737 0.146959874175 0.871259692355
166.65 0.0937974113448 0.99640881664 0.141377801069 0.871934703392
166.7 0.100670104573 0.996095845691 0.133529928049 0.872432923551
166.75 0.10714378869 0.995525557025 0.125417436628 0.876367611868
166.8 0.113239168619 0.994933286955 0.118397760542 0.879632663988
166.85 0.118995867101 0.994492893103 0.111870178759 0.883325293083
166.9 0.12434323759 0.994201386462 0.102024640787 0.888225782785
166.95 0.129117917821 0.994103460211 0.0889625684506 0.89272164604
167.0 0.133252811465 0.994074836696 0.0764331773223 0.896316838941
167.05 0.13678054423 0.994216158316 0.0646761332496 0.897058602043
167.1 0.139701936168 0.994560187916 0.0521795442741 0.895604406358
167.15 0.142037865617 0.995221190327 0.0412576336922 0.893369826089
167.2 0.143801822269 0.996152992633 0.0293006324082 0.891531627399
167.25 0.144930346817 0.997206008268 0.0158403494957 0.888521027294
167.3 0.145374851972 0.998379830751 0.00193985671016 0.885605315846
167.35 0.145128059753 0.999641982689 -0.0118115454657 0.878829203234
167.4 0.1442089151 1.00112439324 -0.0249542406484 0.874310577035
167.45 0.142623147533 1.00269282474 -0.038476462062 0.871450530217
167.5 0.140369793566 1.00428317844 -0.0516576966045 0.874268024937
167.55 0.137539817277 1.00588341968 -0.0615413549585 0.874434024854
167.6 0.134145049711 1.00731966482 -0.0742493476671 0.874825113966
167.65 0.130137654387 1.00866889799 -0.0860464652911 0.876284937017
167.7 0.125568850825 1.010079973 -0.0967056771968 0.872024630941
167.75 0.120468530533 1.0115289213 -0.107307134482 0.870945623774
167.8 0.114826755539 1.01293448972 -0.118363865303 0.867631357964
167.85 0.108666744987 1.01425939512 -0.128036556752 0.872200056602
167.9 0.102010837345 1.01549106083 -0.138199748949 0.871584777121
167.95 0.0949117391164 1.01665493173 -0.14576418018 0.871587459236
168.0 0.0874481448275 1.01784660875 -0.152779591378 0.871670700852
168.05 0.0796240213517 1.01912324112 -0.160185347653 0.87213391064
168.1 0.0714980303923 1.02041177817 -0.164854290726 0.864845925227
168.15 0.0631384606571 1.02161164068 -0.169528498679 0.863830743734
168.2 0.0545369416073 1.02267333776 -0.174532263313 0.859942921784
168.25 0.0456941977856 1.02364122443 -0.179177489556 0.855958626051
168.3 0.0366427919829 1.02434850547 -0.182878742553 0.857590987244
168.35 0.027430785097 1.02464705474 -0.185601532882 0.854059253766
168.4 0.0180983320082 1.02469632923 -0.187696590671 0.853694983821
168.45 0.0086616992362 1.02455609169 -0.189768720208 0.854532585125
168.5 -0.000807228119001 1.02422622852 -0.188988374 0.855798802488
168.55 -0.0102263453358 1.02371836516 -0.187776314672 0.857056632609
168.6 -0.0195297920274 1.02286014516 -0.184361552992 0.856118144031
168.65 -0.0286923749658 1.02168397721 -0.182141764548 0.855920805456
168.7 -0.0376667499616 1.02031227062 -0.176833235281 0.855927932745
168.75 -0.0463914200227 1.01871244758 -0.172153567166 0.855951388712
168.8 -0.05483942899 1.01688684392 -0.165766791526 0.856978221045
168.85 -0.0629701161903 1.01470820532 -0.159460696486 0.860170311893
168.9 -0.0707936451411 1.0122716209 -0.153480461546 0.862561751132
168.95 -0.0782571914729 1.00966048199 -0.145061391727 0.866485077997
169.0 -0.0853140067515 1.00681778128 -0.137211219415 0.869001150847
169.05 -0.0920155555847 1.00389874778 -0.130850733914 0.87197040154
169.1 -0.0983062431833 1.00099101197 -0.12077677003 0.869312636365
169.15 -0.104105747849 0.998006742889 -0.111203416591 0.87233474253
169.2 -0.109451390233 0.994943924783 -0.102622278756 0.874838838735
169.25 -0.114376853863 0.991869615223 -0.0943962664662 0.877745576571
169.3 -0.118814103317 0.988863565277 -0.083093711687 0.878363165247
169.35 -0.122753465591 0.986004420408 -0.0744807792625 0.88041198142
169.4 -0.126257518237 0.983341381371 -0.0656813266009 0.887713172975
169.45 -0.129307541687 0.980987802625 -0.0563196113709 0.887675374216
169.5 -0.131885170933 0.97899428596 -0.0467855584748 0.891754370125
169.55 -0.133941805017 0.977339623365 -0.0354798049026 0.891111212777
169.6 -0.135517188874 0.976082693701 -0.0275355493579 0.889228694598
169.65 -0.136584099392 0.975331049672 -0.0151408713581 0.889897358786
169.7 -0.137089379461 0.975149377455 -0.00507033140754 0.891854513884
169.75 -0.137032175051 0.975486397066 0.00735850780937 0.887040651525
169.8 -0.136380994655 0.976254905265 0.0186887080065 0.88855736568
169.85 -0.135139491142 0.977411531885 0.0309714325027 0.889212883394
169.9 -0.133320356438 0.978976850176 0.0417939556675 0.889060532388
169.95 -0.13096988462 0.980988080574 0.0522249170427 0.882413430456
170.0 -0.128086763065 0.983353140978 0.0630999451771 0.879771174769
170.05 -0.124632998984 0.985908062235 0.0750506180706 0.879628120387
170.1 -0.120667049821 0.988504853233 0.0835873484349 0.877717982921
170.15 -0.116269149832 0.991081662099 0.0923286511494 0.875574285737
170.2 -0.111387207732 0.993576956003 0.102949032851 0.873330324256
170.25 -0.106038044172 0.996010625816 0.111017509529 0.871114769921
170.3 -0.100268530666 0.998379108118 0.119763030716 0.873813167325
170.35 -0.0940696799254 1.00059752352 0.128190998904 0.876528344981
170.4 -0.0874482144937 1.00278643256 0.136667618366 0.872990472441
170.45 -0.0804209079998 1.00489486894 0.144424641391 0.871846763644
170.5 -0.0730571584339 1.00681091173 0.150125341246 0.870050860094
170.55 -0.0654588930627 1.00859353455 0.1538052736 0.873565055486
170.6 -0.0576288392331 1.01024197275 0.159396879583 0.873673913647
170.65 -0.0495601487154 1.01182290804 0.163350741127 0.881947120931
170.7 -0.0413434927585 1.01345696423 0.165315497149 0.883324090219
170.75 -0.0330222945976 1.01504137155 0.167532429285 0.88713942524
170.8 -0.0246779426739 1.01655367513 0.166241647667 0.887573409464
170.85 -0.0163942918964 1.01807064529 0.165104383433 0.88609513803
170.9 -0.00810584865321 1.0195537091 0.166433346294 0.883349613301
170.95 0.000192297513019 1.02114239123 0.165492500355 0.880872456148
171.0 0.00837693988036 1.02279939725 0.161893194339 0.880088865636
171.05 0.0163779489748 1.02452356294 0.158147169437 0.876135903918
171.1 0.024188195905 1.02624647053 0.154262707772 0.876032478436
171.15 0.031803679241 1.02780354496 0.150356625669 0.870487248008
171.2 0.0391606917737 1.02899956449 0.143923875639 0.867427677199
171.25 0.0461874585204 1.02963053401 0.137146794229 0.860210560436
171.3 0.0528757292051 1.02989999853 0.130384033156 0.861580744208
171.35 0.0591469764115 1.02987250962 0.120465855101 0.858862992635
171.4 0.0649580723649 1.02939649683 0.111977983035 0.860354069904
171.45 0.0703475835658 1.0284275978 0.103602465005 0.863344786794
171.5 0.0752821858209 1.02703269613 0.0937816251984 0.867104541535
171.55 0.0797541648965 1.02538628656 0.0850975378246 0.871353893889
171.6 0.0837823567107 1.02358473867 0.0760301347413 0.876238982009
171.65 0.0874120111856 1.0216361503 0.0691560442576 0.878411276842
171.7 0.0906637809852 1.01960512998 0.0609147477265 0.878940020021
171.75 0.0934751081568 1.01767728059 0.0515383391344 0.879390989054
171.8 0.0957936330866 1.01591046205 0.0412026580599 0.882298634534
171.85 0.0976501786449 1.01420767522 0.0330591642718 0.880824292651
171.9 0.0990117391409 1.01253396099 0.0214032555684 0.88047976583
171.95 0.0998727477472 1.01099919943 0.0130370886831 0.878965543315
172.0 0.100290208572 1.00974885222 0.00366134432644 0.880302745295
172.05 0.10020588935 1.00873740006 -0.00703411322836 0.879922592064
172.1 0.0996153538945 1.00784787509 -0.0165873049883 0.876781533854
172.15 0.0985039660408 1.00708319165 -0.0278682091586 0.876112227522
172.2 0.0968311779283 1.00634464283 -0.0390433153413 0.87563326671
172.25 0.0946523162584 1.00568213977 -0.0481111514543 0.875043417077
172.3 0.091950421452 1.00513434452 -0.0599646408008 0.878851537695
172.35 0.0887630201836 1.00469803639 -0.0675314099362 0.880276201012
172.4 0.0851216564038 1.0043194492 -0.0781231412568 0.880263189201
172.45 0.0809697170539 1.00396119777 -0.0879544327382 0.879742419661
172.5 0.0763458305728 1.00375141547 -0.0970010265063 0.873456708396
172.55 0.0713295206779 1.00350651158 -0.10365136929 0.873333287288
172.6 0.065989319182 1.00321085276 -0.109956690545 0.872252550156
172.65 0.0602769991165 1.00309711307 -0.118536112075 0.871234267698
172.7 0.0542026426782 1.00321178861 -0.124438145457 0.866737420624
172.75 0.0477957014939 1.00346469107 -0.131839501913 0.863009152926
172.8 0.0410654264529 1.00372034699 -0.137371499725 0.8644911254
172.85 0.0339915080589 1.00382286772 -0.145585236037 0.861769286325
172.9 0.0265693403383 1.00375952445 -0.151301472787 0.86435415984
172.95 0.0189306636484 1.00367740618 -0.15424559481 0.867031399903
173.0 0.0111677722221 1.00372579528 -0.156270062242 0.868327016179
173.05 0.00328227871624 1.0038927528 -0.159149677991 0.867272223032
173.1 -0.00472527962295 1.00408370408 -0.161152655577 0.866827772665
173.15 -0.0128157321723 1.00440889407 -0.162465446399 0.872262747382
173.2 -0.0209564955872 1.00500032577 -0.163165090197 0.872733191796
173.25 -0.0291335409567 1.00584014883 -0.16391672458 0.86924273118
173.3 -0.0372847534827 1.00676797718 -0.162131776461 0.869311457733
173.35 -0.0453278286204 1.00764937348 -0.159591229046 0.868593626163
173.4 -0.0532197488224 1.00845706895 -0.156085579037 0.868415917993
173.45 -0.0609503448944 1.00904968377 -0.153138263842 0.868821965793
173.5 -0.0684760834797 1.00941840178 -0.147891279568 0.865216912069
173.55 -0.0757676410689 1.00963483554 -0.143771024001 0.861066118673
173.6 -0.0828116417065 1.00973243763 -0.137989001503 0.859012651155
173.65 -0.0895735098732 1.00977012469 -0.132485725165 0.857258901656
173.7 -0.0960572129501 1.00968187144 -0.126862397911 0.859072822755
173.75 -0.102198735375 1.00937397875 -0.118798499072 0.860598178499
173.8 -0.107999858538 1.00901460093 -0.113246427467 0.861595402309
173.85 -0.113437477181 1.00855269137 -0.104258318229 0.860673724399
173.9 -0.118421326706 1.00789542047 -0.0950956627913 0.860954853984
173.95 -0.122987499322 1.00708841617 -0.0875512418373 0.865185918732
174.0 -0.127150710507 1.00602763641 -0.0789772055527 0.867452861989
174.05 -0.130873503004 1.00477699307 -0.0699344943496 0.866378066262
174.1 -0.134137624772 1.00352873701 -0.0606303763703 0.866159405027
174.15 -0.136901743278 1.0023908871 -0.0499343638749 0.869992853714
174.2 -0.139076634675 1.001383124 -0.0370612919952 0.869201536941
174.25 -0.140672472987 1.00043005335 -0.0267722404713 0.873380877634
174.3 -0.14176279239 0.999502536373 -0.0168405356623 0.874957303909
174.35 -0.142273122611 0.99868309229 -0.00357267319529 0.874412384024
174.4 -0.142200830942 0.998064764117 0.00646433998061 0.876204678105
174.45 -0.14164049586 0.997617821087 0.0159490633041 0.874207264447
174.5 -0.140505989799 0.997161662116 0.02943117911 0.87143715017
174.55 -0.138787649119 0.996606264863 0.0393024480926 0.868561559493
174.6 -0.136609988066 0.995879342829 0.0478039940339 0.863504737823
174.65 -0.133949472139 0.995093404273 0.0586166430335 0.860635334453
174.7 -0.130764305521 0.994381448375 0.0687900217034 0.86342412297
174.75 -0.127099339429 0.993601836211 0.0778086219865 0.862755392538
174.8 -0.12297368731 0.992790378311 0.0872174627583 0.86310949171
174.85 -0.118405311584 0.992098903868 0.0955175662852 0.863012613274
174.9 -0.113419462315 0.991404389285 0.103916404471 0.864892032328
174.95 -0.108007205794 0.990711407952 0.112573856385 0.864434168315
175.0 -0.102167099915 0.990081628157 0.121030378744 0.864974909276
175.05 -0.095929667831 0.989465521457 0.128466904633 0.864872005626
175.1 -0.0892897045652 0.988807912047 0.137131626002 0.861988617348
175.15 -0.0822890668749 0.988218893031 0.142893881607 0.860475721435
175.2 -0.0750144744709 0.987665455162 0.148089814555 0.86379452814
175.25 -0.0674473302558 0.987042847921 0.154595954047 0.865200810751
175.3 -0.0596074026549 0.986536759113 0.159001149988 0.867821718851
175.35 -0.0515712806819 0.986253911723 0.162443728933 0.866375032573
175.4 -0.0433633064159 0.986111749521 0.165875241709 0.863312466664
175.45 -0.0350197735703 0.985979296501 0.167866072116 0.861953937174
175.5 -0.0266308533345 0.985916241648 0.167690737315 0.862924684432
175.55 -0.0182257375156 0.98588545878 0.168513895444 0.862020895887
175.6 -0.00976638884565 0.985830819468 0.169860051352 0.862325788719
175.65 -0.00120107527666 0.986001139132 0.172752491407 0.863278244865
175.7 0.00746255745008 0.986453729006 0.173792817662 0.865374312022
175.75 0.0161675872395 0.987142856991 0.174408373916 0.868530296475
175.8 0.0248031369807 0.988141725173 0.171013615729 0.868423627921
175.85 0.0333260588182 0.989322347683 0.169903257775 0.873843923752
175.9 0.0416762179582 0.990670068217 0.164103107823 0.871471639412
175.95 0.0498256349099 0.992172984646 0.161873570247 0.873656049406
176.0 0.0577628797531 0.993778153702 0.155616223482 0.874259944546
176.05 0.0654352627504 0.995447527747 0.151279096408 0.87258483455
176.1 0.0728362226931 0.997142234175 0.144759301303 0.869989359003
176.15 0.0799157788548 0.998833273681 0.138422945166 0.867665012835
176.2 0.0867100657226 1.00046911684 0.133348529546 0.867380829385
176.25 0.0931602100712 1.00199317915 0.124657244398 0.86796358185
176.3 0.0992297027682 1.00341814759 0.118122463482 0.865210020984
176.35 0.104882119178 1.00477210845 0.107974192922 0.860091814155
176.4 0.110047037425 1.00613261411 0.0986225369267 0.86146988643
176.45 0.11480688484 1.00751689548 0.0917713596832 0.861581348289
176.5 0.119126467141 1.00878963115 0.0810119323466 0.859375752072
176.55 0.122849441308 1.00987212471 0.0679070343608 0.862525290102
176.6 0.126019208495 1.01076951933 0.0588836530894 0.858244016822
176.65 0.128618955005 1.01150130548 0.0451062073303 0.861505426117
176.7 0.130578346938 1.01206045715 0.0332694699728 0.862207334732
176.75 0.131901226579 1.01254140545 0.0196457156705 0.865052247222
176.8 0.132537110112 1.01288696802 0.00578962564385 0.865573501399
176.85 0.132503963886 1.01314992522 -0.00711547465165 0.860790830856
176.9 0.131775775211 1.01332419376 -0.02201207235 0.85792569184
176.95 0.130350639681 1.01330476946 -0.0349933488537 0.855562470566
