#:t mx my mz
14.300000 0.151167 0.973292 0.172774
14.350000 0.146329 0.973890 0.173567
14.400000 0.141487 0.974463 0.174364
14.450000 0.136644 0.975011 0.175165
14.500000 0.131797 0.975533 0.175970
14.550000 0.126949 0.976029 0.176780
14.600000 0.122099 0.976500 0.177593
14.650000 0.117247 0.976946 0.178411
14.700000 0.112394 0.977365 0.179234
14.750000 0.107540 0.977759 0.180060
14.800000 0.102685 0.978128 0.180891
14.850000 0.097830 0.978471 0.181726
14.900000 0.092974 0.978788 0.182565
14.950000 0.088119 0.979079 0.183408
15.000000 0.083264 0.979345 0.184256
15.050000 0.078409 0.979585 0.185107
15.100000 0.073556 0.979800 0.185963
15.150000 0.068703 0.979988 0.186822
15.200000 0.063852 0.980152 0.187685
15.250000 0.059002 0.980289 0.188553
15.300000 0.054154 0.980401 0.189423
15.350000 0.049309 0.980487 0.190298
15.400000 0.044465 0.980548 0.191175
15.450000 0.039625 0.980584 0.192057
15.500000 0.034787 0.980594 0.192941
15.550000 0.029951 0.980578 0.193829
15.600000 0.025120 0.980537 0.194719
15.650000 0.020291 0.980471 0.195613
15.700000 0.015466 0.980380 0.196509
15.750000 0.010645 0.980264 0.197408
15.800000 0.005828 0.980122 0.198310
15.850000 0.001015 0.979956 0.199214
15.900000 -0.003793 0.979764 0.200120
15.950000 -0.008597 0.979548 0.201028
16.000000 -0.013397 0.979307 0.201938
16.050000 -0.018191 0.979041 0.202850
16.100000 -0.022981 0.978750 0.203763
16.150000 -0.027766 0.978436 0.204678
16.200000 -0.032545 0.978096 0.205594
16.250000 -0.037319 0.977732 0.206511
16.300000 -0.042088 0.977344 0.207429
16.350000 -0.046851 0.976932 0.208348
16.400000 -0.051609 0.976496 0.209267
16.450000 -0.056361 0.976035 0.210187
16.500000 -0.061107 0.975551 0.211108
16.550000 -0.065847 0.975043 0.212028
16.600000 -0.070581 0.974511 0.212949
16.650000 -0.075309 0.973955 0.213869
16.700000 -0.080032 0.973376 0.214790
16.750000 -0.084748 0.972773 0.215710
16.800000 -0.089458 0.972147 0.216629
16.850000 -0.094161 0.971497 0.217548
16.900000 -0.098859 0.970824 0.218465
16.950000 -0.103550 0.970128 0.219382
17.000000 -0.108236 0.969409 0.220298
17.050000 -0.112914 0.968667 0.221213
17.100000 -0.117587 0.967901 0.222127
17.150000 -0.122253 0.967113 0.223039
17.200000 -0.126913 0.966302 0.223950
17.250000 -0.131567 0.965468 0.224860
17.300000 -0.136215 0.964611 0.225768
17.350000 -0.140856 0.963732 0.226674
17.400000 -0.145491 0.962829 0.227579
17.450000 -0.150119 0.961905 0.228482
17.500000 -0.154742 0.960957 0.229383
17.550000 -0.159358 0.959987 0.230282
17.600000 -0.163968 0.958995 0.231180
17.650000 -0.168572 0.957979 0.232075
17.700000 -0.173169 0.956942 0.232969
17.750000 -0.177761 0.955882 0.233861
17.800000 -0.182346 0.954799 0.234751
17.850000 -0.186925 0.953695 0.235639
17.900000 -0.191498 0.952567 0.236525
17.950000 -0.196065 0.951417 0.237410
18.000000 -0.200625 0.950245 0.238293
18.050000 -0.205180 0.949051 0.239174
18.100000 -0.209728 0.947834 0.240053
18.150000 -0.214271 0.946594 0.240931
18.200000 -0.218807 0.945332 0.241807
18.250000 -0.223337 0.944048 0.242682
18.300000 -0.227860 0.942741 0.243555
18.350000 -0.232378 0.941412 0.244427
18.400000 -0.236889 0.940060 0.245298
18.450000 -0.241394 0.938685 0.246168
18.500000 -0.245893 0.937288 0.247036
18.550000 -0.250386 0.935869 0.247904
18.600000 -0.254872 0.934427 0.248771
18.650000 -0.259351 0.932962 0.249638
18.700000 -0.263825 0.931474 0.250503
18.750000 -0.268291 0.929964 0.251369
