#:t mx my mz
12.400000 0.328404 0.925954 0.143181
12.450000 0.323820 0.927355 0.143868
12.500000 0.319229 0.928733 0.144554
12.550000 0.314629 0.930088 0.145240
12.600000 0.310021 0.931420 0.145926
12.650000 0.305405 0.932729 0.146612
12.700000 0.300781 0.934015 0.147299
12.750000 0.296149 0.935278 0.147985
12.800000 0.291510 0.936518 0.148672
12.850000 0.286862 0.937735 0.149359
12.900000 0.282207 0.938928 0.150047
12.950000 0.277545 0.940099 0.150736
13.000000 0.272875 0.941247 0.151426
13.050000 0.268198 0.942371 0.152117
13.100000 0.263513 0.943472 0.152810
13.150000 0.258822 0.944550 0.153503
13.200000 0.254124 0.945604 0.154198
13.250000 0.249419 0.946635 0.154895
13.300000 0.244707 0.947643 0.155594
13.350000 0.239989 0.948626 0.156295
13.400000 0.235264 0.949587 0.156997
13.450000 0.230534 0.950523 0.157703
13.500000 0.225797 0.951436 0.158410
13.550000 0.221055 0.952325 0.159120
13.600000 0.216307 0.953190 0.159833
13.650000 0.211554 0.954031 0.160548
13.700000 0.206795 0.954848 0.161267
13.750000 0.202031 0.955641 0.161988
13.800000 0.197263 0.956410 0.162713
13.850000 0.192490 0.957154 0.163441
13.900000 0.187713 0.957874 0.164172
13.950000 0.182932 0.958569 0.164907
14.000000 0.178146 0.959240 0.165646
14.050000 0.173357 0.959886 0.166388
14.100000 0.168565 0.960507 0.167134
14.150000 0.163770 0.961103 0.167883
14.200000 0.158971 0.961675 0.168637
14.250000 0.154170 0.962221 0.169395
14.300000 0.149367 0.962743 0.170156
14.350000 0.144561 0.963239 0.170922
14.400000 0.139754 0.963710 0.171692
14.450000 0.134944 0.964155 0.172466
14.500000 0.130134 0.964575 0.173244
14.550000 0.125322 0.964970 0.174026
14.600000 0.120510 0.965339 0.174812
14.650000 0.115697 0.965682 0.175603
14.700000 0.110884 0.966000 0.176398
14.750000 0.106071 0.966292 0.177197
14.800000 0.101258 0.966558 0.178000
14.850000 0.096446 0.966799 0.178807
14.900000 0.091634 0.967013 0.179618
14.950000 0.086824 0.967202 0.180433
15.000000 0.082015 0.967364 0.181252
15.050000 0.077207 0.967501 0.182075
15.100000 0.072402 0.967611 0.182901
15.150000 0.067599 0.967696 0.183731
15.200000 0.062798 0.967754 0.184565
15.250000 0.058000 0.967787 0.185403
15.300000 0.053204 0.967793 0.186243
15.350000 0.048412 0.967773 0.187087
15.400000 0.043624 0.967727 0.187935
15.450000 0.038839 0.967656 0.188785
15.500000 0.034057 0.967558 0.189638
15.550000 0.029280 0.967434 0.190494
15.600000 0.024508 0.967284 0.191352
15.650000 0.019740 0.967108 0.192213
15.700000 0.014976 0.966907 0.193077
15.750000 0.010218 0.966680 0.193942
15.800000 0.005465 0.966426 0.194810
15.850000 0.000717 0.966148 0.195679
15.900000 -0.004025 0.965843 0.196551
15.950000 -0.008762 0.965513 0.197423
16.000000 -0.013492 0.965157 0.198298
16.050000 -0.018217 0.964776 0.199173
16.100000 -0.022935 0.964370 0.200049
16.150000 -0.027647 0.963939 0.200926
16.200000 -0.032353 0.963482 0.201804
16.250000 -0.037052 0.963000 0.202683
16.300000 -0.041744 0.962493 0.203562
16.350000 -0.046429 0.961962 0.204441
16.400000 -0.051108 0.961406 0.205320
16.450000 -0.055779 0.960825 0.206199
16.500000 -0.060444 0.960219 0.207078
16.550000 -0.065101 0.959589 0.207957
16.600000 -0.069751 0.958935 0.208835
16.650000 -0.074393 0.958257 0.209712
16.700000 -0.079028 0.957555 0.210588
16.750000 -0.083656 0.956828 0.211464
16.800000 -0.088276 0.956078 0.212338
16.850000 -0.092888 0.955304 0.213211
16.900000 -0.097493 0.954507 0.214083
16.950000 -0.102091 0.953686 0.214953
