#:T Omega Ix Iy t1 t2 calc_time t_count
0.2 1.5 -52.3326199232 -11.8352327594 50.0 133.733333333 2.12144303322 1338.0
0.2 1.55 -42.685179508 -6.2667150973 50.0 131.032258065 2.08409690857 1311.0
0.2 1.6 -35.7589303303 -3.8797686333 50.0 128.5 2.04857611656 1286.0
0.2 1.65 -30.1758734317 -2.63627333276 50.0 126.121212121 2.00142097473 1262.0
0.2 1.7 -25.6928037067 -1.52635226118 50.0 123.882352941 1.96161603928 1239.0
0.2 1.75 -22.5898142568 -0.689778936069 50.0 121.771428571 1.93473100662 1218.0
0.2 1.8 -19.484786747 -0.265866675497 50.0 119.777777778 1.89904308319 1198.0
0.2 1.85 -17.2532436686 -0.169856096781 50.0 117.891891892 1.86968803406 1179.0
0.2 1.9 -15.4439372955 0.0333644239495 50.0 116.105263158 1.84280896187 1162.0
0.2 1.95 -13.4901346584 0.0223831363119 50.0 114.41025641 1.81609916687 1145.0
0.2 2.0 -12.3558065778 0.289096314085 50.0 112.8 1.78699994087 1129.0

0.25 0.05 866.499457925 -5.0755150152 50.0 2562.0 40.5446240902 25621.0
0.25 0.1 436.89572984 -6.05660191061 50.0 1306.0 20.6560738087 13061.0
0.25 0.15 292.941130164 -5.94278802983 50.0 887.333333333 14.0435688496 8874.0
0.25 0.2 223.081240356 -6.50187460735 50.0 678.0 10.7268881798 6780.0
0.25 0.25 181.162114329 -5.8973204323 50.0 552.4 8.70533514023 5524.0
0.25 0.3 153.413926369 -5.86913100408 50.0 468.666666667 7.42344999313 4687.0
0.25 0.35 135.589940987 -6.2158428876 50.0 408.857142857 6.48870992661 4089.0
0.25 0.4 121.966027115 -6.73255313653 50.0 364.0 5.80163407326 3640.0
0.25 0.45 112.422624267 -7.43038969412 50.0 329.111111111 5.18663907051 3292.0
0.25 0.5 104.636770779 -7.34127903894 50.0 301.2 4.75993180275 3013.0
0.25 0.55 98.9529942879 -7.83217681333 50.0 278.363636364 4.40445303917 2784.0
0.25 0.6 96.3736856506 -8.6741569162 50.0 259.333333333 4.10822415352 2594.0
0.25 0.65 94.4368846215 -9.85988683554 50.0 243.230769231 3.86979389191 2433.0
0.25 0.7 93.4958613546 -11.1482959369 50.0 229.428571429 3.63334393501 2295.0
0.25 0.75 93.3867614621 -13.5712730593 50.0 217.466666667 3.44131398201 2175.0
0.25 0.8 96.2293891023 -16.0449122749 50.0 207.0 3.28399085999 2071.0
0.25 0.85 100.780189741 -19.9438950627 50.0 197.764705882 3.13401007652 1978.0
0.25 0.9 106.685627753 -24.8717049214 50.0 189.555555556 3.0096988678 1896.0
0.25 0.95 114.268014161 -33.2809835817 50.0 182.210526316 2.8981449604 1823.0
0.25 1.0 124.589556029 -46.3639075268 50.0 175.6 2.78945302963 1757.0
0.25 1.05 133.344000828 -69.0726387471 50.0 169.619047619 2.69373679161 1697.0
0.25 1.1 137.33760143 -98.0090672084 50.0 164.181818182 2.60936307907 1642.0
0.25 1.15 123.818392386 -134.410873059 50.0 159.217391304 2.52519893646 1593.0
0.25 1.2 79.8131246866 -165.885913013 50.0 154.666666667 2.44496202469 1547.0
0.25 1.25 15.8445340801 -166.404094557 50.0 150.48 2.38528203964 1505.0
0.25 1.3 -41.5076116226 -130.648561098 50.0 146.615384615 2.32144498825 1467.0
0.25 1.35 -68.2023058339 -87.6155267428 50.0 143.037037037 2.27191305161 1431.0
0.25 1.4 -73.2825768976 -55.1239496908 50.0 139.714285714 2.21172595024 1398.0
0.25 1.45 -63.4318724399 -31.1579405717 50.0 136.620689655 2.16373181343 1367.0
0.25 1.5 -55.6370665231 -17.5415977508 50.0 133.733333333 2.12179517746 1338.0
0.25 1.55 -46.7705500526 -10.3322690404 50.0 131.032258065 2.08256006241 1311.0
0.25 1.6 -38.857034964 -6.18995944833 50.0 128.5 2.03423118591 1286.0
0.25 1.65 -32.3199769712 -3.31993971036 50.0 126.121212121 1.99865102768 1262.0
0.25 1.7 -27.29644079 -1.90411020542 50.0 123.882352941 1.9607360363 1239.0
0.25 1.75 -23.5293235132 -1.27222491012 50.0 121.771428571 1.92863607407 1218.0
0.25 1.8 -20.8217227803 -0.842050507671 50.0 119.777777778 1.9046330452 1198.0
0.25 1.85 -17.899634348 -0.411135891116 50.0 117.891891892 1.87103700638 1179.0
0.25 1.9 -16.0695401914 -0.0296290493863 50.0 116.105263158 1.84100699425 1162.0
0.25 1.95 -14.2542460018 0.14470845067 50.0 114.41025641 1.81342697144 1145.0
0.25 2.0 -12.7238985587 0.287781026968 50.0 112.8 1.78933095932 1129.0

0.3 0.05 829.499027252 -4.85911159566 50.0 2562.0 40.4494080544 25621.0
0.3 0.1 418.119044165 -4.94324091538 50.0 1306.0 20.7057001591 13061.0
0.3 0.15 280.615549966 -5.69368638036 50.0 887.333333333 14.0828311443 8874.0
0.3 0.2 212.820410251 -5.50121775509 50.0 678.0 10.7444090843 6780.0
0.3 0.25 173.20362243 -5.26675782043 50.0 552.4 8.76469397545 5524.0
0.3 0.3 147.200757983 -5.92612417845 50.0 468.666666667 7.43392014503 4687.0
0.3 0.35 129.069162725 -5.68980139083 50.0 408.857142857 6.49495387077 4089.0
0.3 0.4 115.967301797 -6.08001703887 50.0 364.0 5.76369214058 3640.0
0.3 0.45 106.815263563 -6.33357101193 50.0 329.111111111 5.22655820847 3292.0
0.3 0.5 99.0158090701 -6.90118884418 50.0 301.2 4.77418684959 3013.0
0.3 0.55 95.0917614258 -7.41634781111 50.0 278.363636364 4.42162799835 2784.0
0.3 0.6 91.0196984776 -8.77209954715 50.0 259.333333333 4.13220191002 2594.0
0.3 0.65 88.2606921573 -9.1237821031 50.0 243.230769231 3.88567304611 2433.0
0.3 0.7 88.0530769597 -10.2523784874 50.0 229.428571429 3.65013003349 2295.0
0.3 0.75 87.820772468 -12.051486792 50.0 217.466666667 3.46637606621 2175.0
0.3 0.8 89.1584574488 -14.0198999595 50.0 207.0 3.28909802437 2071.0
0.3 0.85 93.5274624318 -17.7575149466 50.0 197.764705882 3.13587498665 1978.0
0.3 0.9 99.0340346284 -21.8607436596 50.0 189.555555556 2.99557900429 1896.0
