#:T Omega Ix Iy t1 t2 calc_time t_count
0.2 0.8 353.283929948 -38.7887440279 80.0 392.5 12.6372599602 7850.0
0.2 0.9 411.51718327 -88.3540206827 80.0 348.888888889 11.1955928802 6978.0
0.2 1.0 -640.103060261 -777.116358308 80.0 314.0 10.0904839039 6280.0
0.2 1.1 -558.970005063 -531.69483862 80.0 285.454545455 9.11415576935 5710.0
0.2 1.2 -434.952669383 -318.402408648 80.0 261.666666667 8.39668488503 5234.0
0.2 1.3 -313.358273866 -184.229270558 80.0 241.538461538 7.76577401161 4831.0
0.2 1.4 -224.798017472 -95.3595824769 80.0 224.285714286 7.20567107201 4486.0
0.2 1.5 -151.738332188 -33.1912604524 80.0 209.333333333 6.72694897652 4187.0
0.2 1.6 -84.9126509689 -11.8575413446 80.0 196.25 6.31651091576 3925.0
0.2 1.7 -56.149453452 -20.0110622016 80.0 184.705882353 5.94253802299 3695.0
0.2 1.8 -52.0614868801 -10.8273728738 80.0 174.444444444 5.61572003365 3489.0
0.2 1.9 -34.1915558361 5.47819945407 80.0 165.263157895 5.31711387634 3306.0
0.2 2.0 -12.9622856832 -0.108129579972 80.0 157.0 5.06656098366 3140.0

0.3 0.1 2801.61787489 -40.4664318398 80.0 3140.0 100.634571075 62800.0000001
0.3 0.2 1411.99926635 -124.836705669 80.0 1570.0 50.2704629898 31401.0
0.3 0.3 864.947012945 -126.05433797 80.0 1046.66666667 33.3407468796 20934.0
0.3 0.4 659.806357765 -47.0110432843 80.0 785.0 25.2200849056 15701.0
0.3 0.5 624.848675624 -73.3904570356 80.0 628.0 20.2079679966 12561.0
0.3 0.6 488.861636873 -119.948510711 80.0 523.333333333 16.8593029976 10467.0
0.3 0.7 446.709281556 -102.609494223 80.0 448.571428571 14.4374120235 8972.0
0.3 0.8 510.241751553 -117.292367672 80.0 392.5 12.6263310909 7850.0
0.3 0.9 -757.765546877 -766.691987418 80.0 348.888888889 11.2252931595 6978.0
0.3 1.0 -644.255026557 -551.419027609 80.0 314.0 10.0563409328 6280.0
0.3 1.1 -519.445240361 -355.743772626 80.0 285.454545455 9.17946505547 5710.0
0.3 1.2 -402.289557717 -211.473594733 80.0 261.666666667 8.43284296989 5234.0
0.3 1.3 -288.481325019 -96.4305102621 80.0 241.538461538 7.79270005226 4831.0
0.3 1.4 -183.028613267 -39.1660997012 80.0 224.285714286 7.12783813477 4486.0
0.3 1.5 -124.807795113 -32.8271688596 80.0 209.333333333 6.73725605011 4187.0
0.3 1.6 -102.33369454 -22.8986170503 80.0 196.25 6.3347260952 3925.0
0.3 1.7 -77.6106490678 -1.01160057735 80.0 184.705882353 5.94594883919 3695.0
0.3 1.8 -47.5829220318 -2.6180089945 80.0 174.444444444 5.59739518166 3489.0
0.3 1.9 -42.310199581 -11.3996978163 80.0 165.263157895 5.31088805199 3306.0
0.3 2.0 -44.6079461247 -4.26990962807 80.0 157.0 5.05756998062 3140.0

0.4 0.1 3274.27927467 -607.408846937 80.0 3140.0 99.5587902069 62800.0000001
0.4 0.2 1471.36413132 -200.393576452 80.0 1570.0 50.0805709362 31401.0
0.4 0.3 1095.78114286 -140.836222017 80.0 1046.66666667 33.4486420155 20934.0
0.4 0.4 907.538878894 -207.249373028 80.0 785.0 25.1482021809 15701.0
0.4 0.5 594.20111852 -306.295260737 80.0 628.0 20.2209780216 12561.0
0.4 0.6 580.128888262 -148.523271219 80.0 523.333333333 16.8253691196 10467.0
0.4 0.7 57.9462177257 -718.766854491 80.0 448.571428571 14.2232701778 8972.0
0.4 0.8 -152.809872891 -539.42136371 80.0 392.5 12.6457471848 7850.0
0.4 0.9 -735.833148446 -553.445291212 80.0 348.888888889 11.2005591393 6978.0
0.4 1.0 -608.778051671 -336.314912282 80.0 314.0 10.0812809467 6280.0
0.4 1.1 -437.383093097 -208.301500196 80.0 285.454545455 9.19478082657 5710.0
0.4 1.2 -319.301309437 -119.567287958 80.0 261.666666667 8.31978392601 5234.0
0.4 1.3 -227.297736402 -52.418511206 80.0 241.538461538 7.79582715034 4831.0
0.4 1.4 -145.269553982 -18.9526714105 80.0 224.285714286 7.20375609398 4486.0
0.4 1.5 -100.311258941 -23.2309795405 80.0 209.333333333 6.72853899002 4187.0
0.4 1.6 -89.0647050136 -18.5456211321 80.0 196.25 6.30506587029 3925.0
0.4 1.7 -69.304346092 0.734714379571 80.0 184.705882353 5.94650101662 3695.0
0.4 1.8 -42.4831555913 -1.64922652053 80.0 174.444444444 5.63446211815 3489.0
0.4 1.9 -37.9134566498 -10.3883409233 80.0 165.263157895 5.32166481018 3306.0
