#:T Omega Ix Iy t1 t2 calc_time t_count
0.6 0.5 351.124685608 -18.8386695106 80.0 628.0 20.1191680431 12561.0
0.6 0.6 302.987571474 -23.365328901 80.0 523.333333333 16.590118885 10467.0
0.6 0.7 281.13261397 -23.7738781948 80.0 448.571428571 14.2619481087 8972.0
0.6 0.8 269.867246641 -33.9832688004 80.0 392.5 12.5799820423 7850.0
0.6 0.9 274.541708804 -45.9866059545 80.0 348.888888889 11.1457331181 6978.0
0.6 1.0 289.926283055 -74.3804689585 80.0 314.0 10.0243241787 6280.0
0.6 1.1 318.56833034 -134.074970543 80.0 285.454545455 9.16708087921 5710.0
0.6 1.2 299.247918531 -253.951169264 80.0 261.666666667 8.36708807945 5234.0
0.6 1.3 148.615609126 -364.804404814 80.0 241.538461538 7.64259696007 4831.0
0.6 1.4 -33.8314220723 -316.266343663 80.0 224.285714286 7.18885302544 4486.0
0.6 1.5 -126.940945192 -191.429444635 80.0 209.333333333 6.6827712059 4187.0
0.6 1.6 -126.406338728 -99.6339732088 80.0 196.25 6.27042794228 3925.0
0.6 1.7 -101.333623084 -42.6324348369 80.0 184.705882353 5.90907597542 3695.0
0.6 1.8 -75.1478741776 -17.7852410361 80.0 174.444444444 5.56779694557 3489.0
0.6 1.9 -53.7374181212 -7.77665480553 80.0 165.263157895 5.3042640686 3306.0
0.6 2.0 -39.4179039698 -3.53723472993 80.0 157.0 5.01294517517 3140.0

0.7 0.1 1610.96950465 -23.057345407 80.0 3140.0 99.5155498981 62800.0000001
0.7 0.2 798.971476324 -15.5424750196 80.0 1570.0 49.8332741261 31401.0
0.7 0.3 532.021699435 -17.6654763135 80.0 1046.66666667 33.5342810154 20934.0
0.7 0.4 405.899969063 -16.2614926296 80.0 785.0 25.0755810738 15701.0
0.7 0.5 332.24667535 -18.3478723335 80.0 628.0 20.0572049618 12561.0
0.7 0.6 290.53431375 -19.4678982971 80.0 523.333333333 16.708304882 10467.0
0.7 0.7 263.848686768 -21.8226583864 80.0 448.571428571 14.2442929745 8972.0
0.7 0.8 255.716621939 -26.077970052 80.0 392.5 12.5279128551 7850.0
0.7 0.9 251.530794098 -41.2206627783 80.0 348.888888889 11.1624090672 6978.0
0.7 1.0 269.522870663 -60.3719941709 80.0 314.0 10.0534651279 6280.0
0.7 1.1 285.149146765 -115.107130612 80.0 285.454545455 9.15651988983 5710.0
0.7 1.2 284.305776074 -211.529856501 80.0 261.666666667 8.27778291702 5234.0
0.7 1.3 175.824314128 -312.899036637 80.0 241.538461538 7.74995303154 4831.0
0.7 1.4 7.30352629878 -305.126078119 80.0 224.285714286 7.18564891815 4486.0
0.7 1.5 -93.391137597 -209.975880021 80.0 209.333333333 6.68843817711 4187.0
